JobIDRaw,JobID,JobName,Partition,Submit,Start,End,State,ExitCode,ElapsedRaw,Elapsed,AllocCPUS,AllocNodes,ReqMem,TotalCPU,CPUTimeRAW,MaxRSS,MaxVMSize,AveRSS,AveVMSize
73125,73125,submitit,gpu8,2026-04-19T06:07:35,2026-04-19T06:10:18,2026-04-19T11:09:00,REQUEUED,0:0,17922,04:58:42,80,1,440G,2-11:37:35,1433760,,,,
73125.batch,73125.batch,batch,,2026-04-19T06:10:18,2026-04-19T06:10:18,2026-04-19T11:09:01,CANCELLED,0:15,17923,04:58:43,80,1,,00:00.005,1433840,6284K,0,6284K,0
73125.extern,73125.extern,extern,,2026-04-19T06:10:18,2026-04-19T06:10:18,2026-04-19T11:09:17,COMPLETED,0:0,17939,04:58:59,80,1,,00:00.001,1435120,100K,0,100K,0
73125.0,73125.0,python3,,2026-04-19T06:10:24,2026-04-19T06:10:24,2026-04-19T11:09:38,FAILED,127:0,17954,04:59:14,80,1,,2-11:37:35,1436320,12254580K,0,11977551K,0
73125,73125,submitit,gpu8,2026-04-19T11:09:46,2026-04-19T11:11:51,2026-04-19T16:10:18,REQUEUED,0:0,17907,04:58:27,80,1,440G,1-20:14:17,1432560,,,,
73125.batch,73125.batch,batch,,2026-04-19T11:11:51,2026-04-19T11:11:51,2026-04-19T16:10:19,CANCELLED,0:15,17908,04:58:28,80,1,,00:00.005,1432640,6364K,0,6364K,0
73125.extern,73125.extern,extern,,2026-04-19T11:11:51,2026-04-19T11:11:51,2026-04-19T16:10:47,COMPLETED,0:0,17936,04:58:56,80,1,,00:00.001,1434880,428K,0,428K,0
73125.0,73125.0,python3,,2026-04-19T11:11:56,2026-04-19T11:11:56,2026-04-19T16:10:59,FAILED,127:0,17943,04:59:03,80,1,,1-20:14:17,1435440,12147412K,0,11909438K,0
73125,73125,submitit,gpu8,2026-04-19T16:11:17,2026-04-19T16:13:18,2026-04-19T21:11:20,REQUEUED,0:0,17882,04:58:02,80,1,440G,1-23:13:33,1430560,,,,
73125.batch,73125.batch,batch,,2026-04-19T16:13:18,2026-04-19T16:13:18,2026-04-19T21:11:21,CANCELLED,0:15,17883,04:58:03,80,1,,00:00.005,1430640,6284K,0,6284K,0
73125.extern,73125.extern,extern,,2026-04-19T16:13:18,2026-04-19T16:13:18,2026-04-19T21:11:48,COMPLETED,0:0,17910,04:58:30,80,1,,00:00.001,1432800,100K,0,100K,0
73125.0,73125.0,python3,,2026-04-19T16:13:22,2026-04-19T16:13:22,2026-04-19T21:11:57,FAILED,127:0,17915,04:58:35,80,1,,1-23:13:33,1433200,12068060K,0,11925202K,0
73125,73125,submitit,gpu8,2026-04-19T21:12:07,2026-04-19T21:14:19,2026-04-20T02:12:49,REQUEUED,0:0,17910,04:58:30,80,1,440G,1-22:37:38,1432800,,,,
73125.batch,73125.batch,batch,,2026-04-19T21:14:19,2026-04-19T21:14:19,2026-04-20T02:12:50,CANCELLED,0:15,17911,04:58:31,80,1,,00:00.005,1432880,6328K,0,6328K,0
73125.extern,73125.extern,extern,,2026-04-19T21:14:19,2026-04-19T21:14:19,2026-04-20T02:13:18,COMPLETED,0:0,17939,04:58:59,80,1,,00:00.001,1435120,92K,0,92K,0
73125.0,73125.0,python3,,2026-04-19T21:14:25,2026-04-19T21:14:25,2026-04-20T02:13:27,FAILED,127:0,17942,04:59:02,80,1,,1-22:37:38,1435360,11812372K,0,11514502K,0
73125,73125,submitit,gpu8,2026-04-20T02:13:36,2026-04-20T02:16:19,2026-04-20T07:14:49,REQUEUED,0:0,17910,04:58:30,80,1,440G,1-22:04:59,1432800,,,,
73125.batch,73125.batch,batch,,2026-04-20T02:16:19,2026-04-20T02:16:19,2026-04-20T07:14:51,CANCELLED,0:15,17912,04:58:32,80,1,,00:00.005,1432960,6280K,0,6280K,0
73125.extern,73125.extern,extern,,2026-04-20T02:16:19,2026-04-20T02:16:19,2026-04-20T07:15:18,COMPLETED,0:0,17939,04:58:59,80,1,,00:00.001,1435120,120K,0,120K,0
73125.0,73125.0,python3,,2026-04-20T02:16:24,2026-04-20T02:16:24,2026-04-20T07:15:28,FAILED,127:0,17944,04:59:04,80,1,,1-22:04:59,1435520,12213376K,0,11796571.50K,0
73125,73125,submitit,gpu8,2026-04-20T07:15:36,2026-04-20T07:18:19,2026-04-20T12:16:58,REQUEUED,0:0,17919,04:58:39,80,1,440G,1-19:54:07,1433520,,,,
73125.batch,73125.batch,batch,,2026-04-20T07:18:19,2026-04-20T07:18:19,2026-04-20T12:17:00,CANCELLED,0:15,17921,04:58:41,80,1,,00:00.005,1433680,6360K,0,6360K,0
73125.extern,73125.extern,extern,,2026-04-20T07:18:19,2026-04-20T07:18:19,2026-04-20T12:17:18,COMPLETED,0:0,17939,04:58:59,80,1,,00:00.001,1435120,428K,0,428K,0
73125.0,73125.0,python3,,2026-04-20T07:18:25,2026-04-20T07:18:25,2026-04-20T12:17:37,FAILED,127:0,17952,04:59:12,80,1,,1-19:54:07,1436160,12116592K,0,11885582K,0
73125,73125,submitit,gpu8,2026-04-20T12:17:45,2026-04-20T12:19:57,2026-04-20T17:18:25,REQUEUED,0:0,17908,04:58:28,80,1,440G,1-20:45:44,1432640,,,,
73125.batch,73125.batch,batch,,2026-04-20T12:19:57,2026-04-20T12:19:57,2026-04-20T17:18:26,CANCELLED,0:15,17909,04:58:29,80,1,,00:00.005,1432720,6360K,0,6360K,0
73125.extern,73125.extern,extern,,2026-04-20T12:19:57,2026-04-20T12:19:57,2026-04-20T17:18:48,COMPLETED,0:0,17931,04:58:51,80,1,,00:00.001,1434480,460K,0,460K,0
73125.0,73125.0,python3,,2026-04-20T12:20:03,2026-04-20T12:20:03,2026-04-20T17:19:02,FAILED,127:0,17939,04:58:59,80,1,,1-20:45:44,1435120,12113352K,0,11940565.50K,0
73125,73125,submitit,gpu8,2026-04-20T17:19:11,2026-04-20T17:21:20,2026-04-20T22:19:49,REQUEUED,0:0,17909,04:58:29,80,1,440G,1-23:24:41,1432720,,,,
73125.batch,73125.batch,batch,,2026-04-20T17:21:20,2026-04-20T17:21:20,2026-04-20T22:19:51,CANCELLED,0:15,17911,04:58:31,80,1,,00:00.005,1432880,6572K,0,6572K,0
73125.extern,73125.extern,extern,,2026-04-20T17:21:20,2026-04-20T17:21:20,2026-04-20T22:20:18,COMPLETED,0:0,17938,04:58:58,80,1,,00:00.002,1435040,764K,0,764K,0
73125.0,73125.0,python3,,2026-04-20T17:21:24,2026-04-20T17:21:24,2026-04-20T22:20:27,CANCELLED,0:9,17943,04:59:03,80,1,,1-23:24:41,1435440,12095104K,0,11970123.50K,0
73125,73125,submitit,gpu8,2026-04-20T22:20:36,2026-04-20T22:22:45,2026-04-21T03:20:50,REQUEUED,0:0,17885,04:58:05,80,1,440G,1-22:11:12,1430800,,,,
73125.batch,73125.batch,batch,,2026-04-20T22:22:45,2026-04-20T22:22:45,2026-04-21T03:20:52,CANCELLED,0:15,17887,04:58:07,80,1,,00:00.005,1430960,6564K,0,6564K,0
73125.extern,73125.extern,extern,,2026-04-20T22:22:45,2026-04-20T22:22:45,2026-04-21T03:21:19,COMPLETED,0:0,17914,04:58:34,80,1,,00:00.002,1433120,488K,0,488K,0
73125.0,73125.0,python3,,2026-04-20T22:22:50,2026-04-20T22:22:50,2026-04-21T03:21:27,FAILED,127:0,17917,04:58:37,80,1,,1-22:11:12,1433360,12250596K,0,11970431K,0
73125,73125,submitit,gpu8,2026-04-21T03:21:36,2026-04-21T03:24:20,2026-04-21T08:23:04,REQUEUED,0:0,17924,04:58:44,80,1,440G,1-22:50:58,1433920,,,,
73125.batch,73125.batch,batch,,2026-04-21T03:24:20,2026-04-21T03:24:20,2026-04-21T08:23:05,CANCELLED,0:15,17925,04:58:45,80,1,,00:00.005,1434000,6360K,0,6360K,0
73125.extern,73125.extern,extern,,2026-04-21T03:24:20,2026-04-21T03:24:20,2026-04-21T08:23:19,COMPLETED,0:0,17939,04:58:59,80,1,,00:00.001,1435120,380K,0,380K,0
73125.0,73125.0,python3,,2026-04-21T03:24:24,2026-04-21T03:24:24,2026-04-21T08:23:42,CANCELLED,0:9,17958,04:59:18,80,1,,1-22:50:58,1436640,12143984K,0,11908241.50K,0
73125,73125,submitit,gpu8,2026-04-21T08:23:52,2026-04-21T08:25:56,2026-04-21T13:24:19,REQUEUED,0:0,17903,04:58:23,80,1,440G,1-20:02:26,1432240,,,,
73125.batch,73125.batch,batch,,2026-04-21T08:25:56,2026-04-21T08:25:56,2026-04-21T13:24:21,CANCELLED,0:15,17905,04:58:25,80,1,,00:00.005,1432400,6364K,0,6364K,0
73125.extern,73125.extern,extern,,2026-04-21T08:25:56,2026-04-21T08:25:56,2026-04-21T13:24:48,COMPLETED,0:0,17932,04:58:52,80,1,,00:00.002,1434560,764K,0,764K,0
73125.0,73125.0,python3,,2026-04-21T08:26:01,2026-04-21T08:26:01,2026-04-21T13:24:57,FAILED,127:0,17936,04:58:56,80,1,,1-20:02:26,1434880,12256488K,0,11947183K,0
73125,73125,submitit,gpu8,2026-04-21T13:25:06,2026-04-21T15:03:17,2026-04-21T20:01:24,REQUEUED,0:0,17887,04:58:07,80,1,440G,1-19:18:22,1430960,,,,
73125.batch,73125.batch,batch,,2026-04-21T15:03:17,2026-04-21T15:03:17,2026-04-21T20:01:25,CANCELLED,0:15,17888,04:58:08,80,1,,00:00.005,1431040,6364K,0,6364K,0
73125.extern,73125.extern,extern,,2026-04-21T15:03:17,2026-04-21T15:03:17,2026-04-21T20:01:49,COMPLETED,0:0,17912,04:58:32,80,1,,00:00.001,1432960,512K,0,512K,0
73125.0,73125.0,python3,,2026-04-21T15:03:22,2026-04-21T15:03:22,2026-04-21T20:02:02,CANCELLED,0:9,17920,04:58:40,80,1,,1-19:18:22,1433600,11718344K,0,11577435.50K,0
73125,73125,submitit,gpu8,2026-04-21T20:02:11,2026-04-21T20:24:49,2026-04-22T01:22:50,REQUEUED,0:0,17881,04:58:01,80,1,440G,1-22:29:18,1430480,,,,
73125.batch,73125.batch,batch,,2026-04-21T20:24:49,2026-04-21T20:24:49,2026-04-22T01:22:52,CANCELLED,0:15,17883,04:58:03,80,1,,00:00.006,1430640,6360K,0,6360K,0
73125.extern,73125.extern,extern,,2026-04-21T20:24:49,2026-04-21T20:24:49,2026-04-22T01:23:19,COMPLETED,0:0,17910,04:58:30,80,1,,00:00.001,1432800,380K,0,380K,0
73125.0,73125.0,python3,,2026-04-21T20:24:53,2026-04-21T20:24:53,2026-04-22T01:23:28,FAILED,127:0,17915,04:58:35,80,1,,1-22:29:18,1433200,12041376K,0,11856561.50K,0
73125,73125,submitit,gpu8,2026-04-22T01:23:37,2026-04-24T01:24:15,2026-04-24T06:22:27,REQUEUED,0:0,17892,04:58:12,80,1,440G,2-03:34:14,1431360,,,,
73125.batch,73125.batch,batch,,2026-04-24T01:24:15,2026-04-24T01:24:15,2026-04-24T06:22:28,CANCELLED,0:15,17893,04:58:13,80,1,,00:00.006,1431440,6360K,0,6360K,0
73125.extern,73125.extern,extern,,2026-04-24T01:24:15,2026-04-24T01:24:15,2026-04-24T06:22:50,COMPLETED,0:0,17915,04:58:35,80,1,,00:00.001,1433200,764K,0,764K,0
73125.0,73125.0,python3,,2026-04-24T01:24:20,2026-04-24T01:24:20,2026-04-24T06:23:03,FAILED,127:0,17923,04:58:43,80,1,,2-03:34:14,1433840,12068204K,0,11851032.50K,0
73125,73125,submitit,gpu8,2026-04-24T06:23:12,2026-04-26T06:25:56,2026-04-26T11:24:30,REQUEUED,0:0,17914,04:58:34,80,1,440G,2-09:23:29,1433120,,,,
73125.batch,73125.batch,batch,,2026-04-26T06:25:56,2026-04-26T06:25:56,2026-04-26T11:24:31,CANCELLED,0:15,17915,04:58:35,80,1,,00:00.006,1433200,6372K,0,6372K,0
73125.extern,73125.extern,extern,,2026-04-26T06:25:56,2026-04-26T06:25:56,2026-04-26T11:24:48,COMPLETED,0:0,17932,04:58:52,80,1,,00:00.001,1434560,376K,0,376K,0
73125.0,73125.0,python3,,2026-04-26T06:26:00,2026-04-26T06:26:00,2026-04-26T11:25:08,FAILED,127:0,17948,04:59:08,80,1,,2-09:23:29,1435840,12064528K,0,11898462K,0
73125,73125,submitit,gpu8,2026-04-26T11:25:17,2026-04-26T11:27:20,2026-04-26T16:25:49,REQUEUED,0:0,17909,04:58:29,80,1,440G,2-17:21:04,1432720,,,,
73125.batch,73125.batch,batch,,2026-04-26T11:27:20,2026-04-26T11:27:20,2026-04-26T16:25:50,CANCELLED,0:15,17910,04:58:30,80,1,,00:00.005,1432800,6372K,0,6372K,0
73125.extern,73125.extern,extern,,2026-04-26T11:27:20,2026-04-26T11:27:20,2026-04-26T16:26:18,COMPLETED,0:0,17938,04:58:58,80,1,,00:00.001,1435040,440K,0,440K,0
73125.0,73125.0,python3,,2026-04-26T11:27:26,2026-04-26T11:27:26,2026-04-26T16:26:26,FAILED,127:0,17940,04:59:00,80,1,,2-17:21:04,1435200,12117404K,0,12036375.50K,0
73125,73125,submitit,gpu8,2026-04-26T16:26:35,2026-04-26T16:29:21,2026-04-26T20:52:30,COMPLETED,0:0,15789,04:23:09,80,1,440G,2-11:34:11,1263120,,,,
73125.batch,73125.batch,batch,,2026-04-26T16:29:21,2026-04-26T16:29:21,2026-04-26T20:52:30,COMPLETED,0:0,15789,04:23:09,80,1,,00:00.015,1263120,6364K,0,6364K,0
73125.extern,73125.extern,extern,,2026-04-26T16:29:21,2026-04-26T16:29:21,2026-04-26T20:52:30,COMPLETED,0:0,15789,04:23:09,80,1,,00:00.001,1263120,420K,0,420K,0
73125.0,73125.0,python3,,2026-04-26T16:29:26,2026-04-26T16:29:26,2026-04-26T20:52:30,COMPLETED,0:0,15784,04:23:04,80,1,,2-11:34:11,1262720,11900144K,0,11689215.50K,0
